SYSTEM_SWITCH_CHANNEL	Hýzlý Kanal
CHEST_DROP_TITLE	Sandýk Ýç Görü
LOGIN_GIRISAYARLARI_TITLE	Login -> Ayarlar
LOGIN_DUYURULAR_ACIK	Duyurular Açýk
LOGIN_DUYURULAR_KAPALI	Duyurular Kapalý
LOGIN_IDSILEBILIRSIN	ID Silebilirsin.
LOGIN_SIFRESILEBILIRSIN	Þifre Silebilirsin.
LOGIN_KAYITOK	Hesap kayýt edildi!
LOGIN_TUMDOLU	Tüm hesaplar dolu.Lütfen bir slot silin!
LOGIN_KANALSECILMEMIS	Game sunucusu seçilmemiþ.
LOGIN_BOS	Boþ
LOGIN_KAYDET_BOS	Kayýt edilicek bir hesap veya þifre girilmemiþ.
LOGIN_SOCIAL_FACE	Facebook
LOGIN_SOCIAL_YOU	Youtube
CLOSE	Kapat
DESTROY	Sil
BOSS_TRACKING_WINDOW_TITLE	Zindan Takip
BOSS_TRACKING_SELECT_WINDOW_TITLE	Bakmak Ýstediðin Tabloyu Seç
BOSS_TRACKING_SELECT_BUTTON1	Patron Bilgisi
BOSS_TRACKING_SELECT_BUTTON2	Zindan Takip
BOSS_TRACKING_INFO_CHANNEL	6 Kanalda da çýkmaktadýr.
BOSS_TRACKING_INFO_WINDOW_TITLE	Patron Bilgisi 
BOSS_TRACKING_RANKING_WINDOW_TITLE	Sýralama 
EXTENDED_INVENTORY_TITLE	Ek Envanter
UPGRADE_ITEMS_INVENTORY	Yükseltme Envanteri
UPGRADE_STONE_INVENTORY	Taþ Envanteri
UPGRADE_BOX_INVENTORY	Sandýk Envanteri
UPGRADE_EFSUN_INVENTORY	Efsun Envanteri
UPGRADE_CICEK_INVENTORY	Çiçek Envanteri
SKILL_BOOK_INVENTORY	Kitap Envanteri
SHOP_EARNED_CHEQUE	SHOP_EARNED_CHEQUE
SHOP_GET_CHEQUE	Won Çek
SHOP_NOT_EARNED_CHEQUE	Kasa þu anda boþ!
